CALLSIGN,DBA,DOMAIN_ROOT,BENEFICIAL_OWNERS
composio,Composio,composio.dev,"[
  ""Soham Ganatra"",
  ""Karan Vaidya""
]"
conciliolabs,"Concilio Labs, Inc.",conciliolabs.com,"[
  ""Terri Miller""
]"
confusion-capital-inc,"Confusion Capital, Inc.",confusioncapital.com,"[
  ""Nevin Freeman""
]"
connect-technologies-inc,Latitude Global Inc,,"[
  ""Brian Wrightson"",
  ""Cyril Mathew""
]"
cookup,"EMBEDCHAIN, INC.",cookup.ai,"[
  ""Taranjeet Singh"",
  ""Deshraj Yadav""
]"
corefans,"Passes, Inc.",passes.com,"[
  ""Lucy Guo""
]"
corgi-insurance-services-inc,"Corgi Insurance Services, Inc",corgi.insure,"[
  ""Nicolas Laqua"",
  ""Emily Yuan""
]"
cozy-finance,"Cozy Finance, Inc.",,"[
  ""Payom Dousti"",
  ""Tony Sheng""
]"
create-wellness,Create Wellness,trycreate.co,"[
  ""Daniel McCormick""
]"
crosby,Crosby,crosbylegal.com,"[
  ""Ryan Jesse Rosen Daniels"",
  ""John Can Sarihan""
]"
crossian-llc,Crossian LLC,crossian.com,"[
  ""Hien Nguyen""
]"
crstl,Crstl Technologies Inc.,crstl.so,"[
  ""Dipti Desai""
]"
crustdata-technologies-inc,"Crustdata Technologies, Inc.",crustdata.co,"[
  ""Christopher Pisarski"",
  ""Abhilash Chowdhary""
]"
cupids-fragrances,Cupids,cupids.com,"[
  ""taneen choudhury""
]"
dawn-labs,Dawn Labs,,"[
  ""Neeraj Prasad""
]"
deel-inc,Deel Inc.,deel.com,"[
  ""Alexandre Bouaziz"",
  ""Shuo Wang""
]"
deep-fission,Deep Fission,deepfission.com,"[
  ""Richard Muller"",
  ""Elizabeth Muller"",
  ""Jonathon Angell""
]"
dsinc,Distributed Spectrum,distributedspectrum.com,"[
  ""Benjamin Harpe"",
  ""Alexander Wulff"",
  ""Isaac Struhl""
]"
dydxtrading,dYdX Trading Inc.,dydx.exchange,"[
  ""Antonio Juliano""
]"
easygg,Easy Games,easy.gg,"[
  ""William Lutton"",
  ""Luke Chatton"",
  ""Jack Schaffner""
]"
element-labs,Element Labs Inc,helloelement.com,"[
  ""Yagil Burowski""
]"
eleven-labs,ElevenLabs,elevenlabs.io,"[
  ""Piotr Dąbkowski"",
  ""Mateusz Staniszewski""
]"
